fips,state,county,years_lost,population,female,rural,non_white,sroh_fairpoor,smoker_pct,food_envir,exer_access,income_ratio,air_pollution,health_costs
39001,Ohio,Adams,10304,28024,50.55,Rural,Very Low,21.86,23.43,7,52.2,5.39,11.7,12341.9
39003,Ohio,Allen,7142,104425,49.66,Suburban,Medium,17.15,19.79,6.9,80,4.59,13,10116.09
39005,Ohio,Ashland,6093,53213,51.05,Rural,Very Low,16.3,19.93,7.9,64.65,3.74,10.6,8274.48
39007,Ohio,Ashtabula,9292,98632,49.63,Suburban,Medium,17.73,21.7,6.9,63.14,4.51,11.1,11231.82
39009,Ohio,Athens,7853,65886,50.1,Suburban,Medium,21.45,23.34,5.3,85,7.24,11.4,10117.22
39011,Ohio,Auglaize,5587,45876,50.28,Suburban,Very Low,13.11,16.62,8.4,67.09,3.76,12,9143.94
39013,Ohio,Belmont,7935,69154,48.9,Rural,Low,17.2,21,7.4,52.91,4.51,11.7,10628.95
39015,Ohio,Brown,10157,43839,50.24,Rural,Very Low,16.6,21.28,7.5,35.79,3.96,12.1,10716.26
39017,Ohio,Butler,7737,376353,50.99,Urban,Medium,15.75,18.62,7.4,90.77,4.51,11.6,10709.24
39019,Ohio,Carroll,7754,27811,49.84,Rural,Very Low,15.47,19.03,7.9,59.87,3.8,11.8,9474.21
39021,Ohio,Champaign,7325,38987,50.01,Rural,Low,14.1,18.02,8.2,58.69,3.85,11.7,10047.9
39023,Ohio,Clark,9478,135959,51.53,Suburban,Medium,17.26,19.51,6.8,83.21,4.55,11.7,10515.14
39025,Ohio,Clermont,7913,201973,50.71,Suburban,Low,14.53,18.58,7.4,77.93,4.35,11.8,10381.53
39027,Ohio,Clinton,9136,41917,50.56,Rural,Low,15.84,19.54,7.2,66.59,4.26,11.7,10043.6
39029,Ohio,Columbiana,8266,104806,49.53,Suburban,Low,17.04,20.23,7.2,71.59,4.14,11.9,10797.6
39031,Ohio,Coshocton,8716,36569,50.44,Rural,Very Low,17.26,19.95,7.1,61.39,4.02,11.7,10061.39
39033,Ohio,Crawford,7972,42306,51.2,Suburban,Very Low,15.14,19.46,7.6,70.67,4.05,11.1,10214.43
39035,Ohio,Cuyahoga,7828,1255921,52.41,Urban,High,17.08,18.7,6.5,95.55,5.63,10.5,10023.93
39037,Ohio,Darke,7462,52076,50.79,Rural,Very Low,14.8,18.2,7.9,48.42,3.92,11.3,9504.81
39039,Ohio,Defiance,6663,38352,50.5,Suburban,Medium,15.88,19.28,7.8,57.17,3.61,11.3,9548.98
39041,Ohio,Delaware,4129,193013,50.44,Urban,Medium,10.31,13.82,8.9,89.45,3.94,11.4,9350.07
39043,Ohio,Erie,8662,75550,51.23,Suburban,Medium,15.71,18.99,7,80.04,4.09,11.5,10274.45
39045,Ohio,Fairfield,5909,151408,50.27,Suburban,Medium,14.59,19.3,7.5,81.65,4.41,11.2,10459.51
39047,Ohio,Fayette,9706,28679,50.47,Suburban,Low,16.51,20.41,7.4,59.17,4.23,11.4,9711.68
39049,Ohio,Franklin,7485,1251722,51.26,Urban,High,15.09,19.66,6.6,95.02,4.8,11.4,9720.21
39051,Ohio,Fulton,7663,42537,50.51,Rural,Medium,13.56,16.88,8.1,54.74,3.64,11.1,9479
39053,Ohio,Gallia,11044,30142,50.78,Rural,Low,18.63,21.55,7.2,50.01,4.92,11.7,10230.12
39055,Ohio,Geauga,4511,94102,50.6,Rural,Very Low,13.03,16.13,8.5,90.02,4.14,11.2,9522.6
39057,Ohio,Greene,5848,164427,50.77,Urban,Medium,14.76,18.37,7.3,76.5,4.88,11.5,10043.19
39059,Ohio,Guernsey,8855,39258,50.59,Rural,Low,18.52,20.89,7.2,48.09,4.57,11.2,10270.3
39061,Ohio,Hamilton,8385,807598,51.88,Urban,High,15.17,18.56,6.3,94.63,5.84,11.4,9918.98
39063,Ohio,Hancock,5788,75573,50.88,Suburban,Medium,14.57,16.57,7.6,76.21,4.19,10.9,8372.67
39065,Ohio,Hardin,8590,31682,50.53,Rural,Very Low,16.75,20.95,7.6,48.8,4.09,11.1,10178.45
39067,Ohio,Harrison,9410,15450,50.87,Rural,Very Low,16.76,19.13,7.8,53.66,4.14,10.9,11618.8
39069,Ohio,Henry,5890,27816,50.87,Rural,Low,13.93,16.63,8,41.61,3.68,11.2,9508.58
39071,Ohio,Highland,9598,43026,51.05,Rural,Very Low,18.55,23.73,7.3,57.66,4.55,11.3,10902.44
39073,Ohio,Hocking,8620,28491,50.31,Rural,Very Low,17.46,21.22,7.1,78.39,4.45,11.4,10088.73
39075,Ohio,Holmes,5608,43909,49.99,Rural,Very Low,14.9,19.44,8.3,26.2,3.45,11.3,8640.5
39077,Ohio,Huron,8051,58469,50.75,Rural,Low,15.76,19.16,7.6,70.35,3.93,11.1,10098
39079,Ohio,Jackson,10434,32596,50.63,Rural,Very Low,19.23,22.16,7,74.99,5.15,12.3,10577.38
39081,Ohio,Jefferson,10329,67347,51.28,Suburban,Low,17.33,21.9,6.6,70,4.91,11.2,12235.87
39083,Ohio,Knox,7058,61061,50.96,Rural,Very Low,16.71,17.8,7.6,66.09,4.16,11.4,10026.82
39085,Ohio,Lake,6334,229245,51.13,Urban,Medium,14.15,17.7,7.6,89.35,4.06,12.3,10425.73
39087,Ohio,Lawrence,9594,61109,51.14,Suburban,Low,21.1,22.03,7.2,96.23,4.97,11.1,11282.69
39089,Ohio,Licking,6794,170570,50.93,Suburban,Low,14.86,17.76,7.8,76.76,4.33,10.9,9155.48
39091,Ohio,Logan,7855,45386,50.65,Rural,Low,14.81,18.85,7.7,62.85,4.07,11,9302.89
39093,Ohio,Lorain,7199,305147,50.65,Urban,High,17.3,19.58,7.3,88.69,4.48,11,11177.52
39095,Ohio,Lucas,8576,433689,51.52,Urban,High,17.63,19.76,6.6,95.17,5.4,10.6,10780.53
39097,Ohio,Madison,7448,44094,45.36,Suburban,Medium,13.51,17.69,7.8,58.36,3.75,10.9,9796.75
39099,Ohio,Mahoning,8498,231900,51.27,Urban,High,17.2,20.62,6.1,75.86,4.82,11.7,10690.1
39101,Ohio,Marion,8166,65355,46.99,Suburban,Medium,18.65,22.15,5.8,69.21,4.33,11.2,11159.77
39103,Ohio,Medina,5289,176395,50.57,Suburban,Low,12.18,16.79,8.3,94.31,3.7,10.8,9930.69
39105,Ohio,Meigs,8059,23257,50.92,Rural,Very Low,18.52,20.92,6.4,33,5,12.2,9833.87
39107,Ohio,Mercer,6542,40968,49.8,Rural,Very Low,13.15,16.59,8.4,68.18,3.96,11.3,9069.82
39109,Ohio,Miami,6704,104224,50.69,Suburban,Low,13.99,18.92,7.8,80.43,4.06,10.7,10046.13
39111,Ohio,Monroe,6903,14409,49.55,Rural,Very Low,16.22,19.64,7.2,71.26,4.03,11.4,9905.88
39113,Ohio,Montgomery,9349,532258,51.88,Urban,High,17.05,19.39,6.2,94.48,4.9,10.7,10198.79
39115,Ohio,Morgan,9105,14777,50.09,Rural,Low,18.22,21.15,7.3,34.08,4.6,10.9,10210.12
39117,Ohio,Morrow,7214,35074,49.75,Rural,Very Low,13.6,18.56,8.3,31.67,3.76,11.2,11039.97
39119,Ohio,Muskingum,8132,86290,51.43,Suburban,Low,17.2,20.11,6.5,72.06,4.58,11.8,10353.35
